company_id,company_name,full_text_scan_completed,matching_windows,tariff_windows,selected_windows,unreviewed_windows
company_102e1a25f7c6be28624dcef0,Thermal Ceramics Inc.,True,20,0,4,16
company_2abed4e8267cf9012537b79e,Thomson Plastics Inc.,True,20,1,6,14
company_6cbe93bbec566a18e6054681,TI Fluid Systems,True,3,1,3,0
company_e0551e94478a46a41053fe4e,Tie Down Engineering,True,2,0,2,0
company_dfea087f5e2dd31c50e24164,TN Americas Holding Inc.,True,2,0,2,0
company_caacbd2dc0461ed785c2c708,Toyota Industries Group (TACG-TICA),True,0,0,0,0
company_ee8dbbd4cf1c48979fcf0406,Trenton Pressing,True,7,0,6,1
company_d6618350a3c99d906f0ee2c2,Trenton Pressing Inc.,True,8,0,6,2
company_7150fb43251087a238bda4ce,Valeo,True,11,7,6,5
company_596feb00112a7e34ae91ab24,Vanguard National Trailer Corp.,True,15,5,6,9
company_2bc94a6bcf8d11a21a6cf4eb,Vernay,True,1,0,1,0
company_b0f60975ef3d7167cafebe78,Vista Metals Corp.,True,8,1,6,2
company_e8ba5621ee1abfc8fd4637ee,Voestalpine Automotive Body Parts Inc.,True,28,1,6,22
company_1b71f48f9617b15b0e014979,Volvo Cars USA,True,93,81,6,87
company_7a96eea5ccf771c156845947,Volvo Group North America,True,93,81,6,87
company_bac57d36c7250058fae99e10,Wabash National Corp.,True,30,24,6,24
company_aacc5e2a4c9fc98b8e2f9d80,Wheelabrator Group Inc.,True,3,0,2,1
company_3c67e220aad7d9c8ee1929f3,WIKA USA,True,3,0,3,0
company_a61f2691b7ceb2228b2ccd4d,Woodbridge Foam Corp.,True,4,0,3,1
company_aa1a5dfbbcb7e72c4fc98871,Woory Industrial Co.,True,32,0,6,26
company_74bf2146c064be5012820c17,Yachiyo Manufacturing of America LLC,True,3,0,2,1
company_3bfce136e09e64002bf1582c,Yamaha Motor Manufacturing Corp.,True,342,44,6,336
company_efe9bd3c5d9ae8c0879f1258,Yazaki North America,True,1,1,1,0
company_df83f1d388dc1cf299de32ec,YKK USA Inc.,True,2,0,2,0
company_8d222dd0a0807029704fdce6,ZF Gainesville LLC,True,6,0,2,4
